Item,Category,Description,Part Number / Spec,Qty,Unit Price (CAD $),Subtotal (CAD $),13% Tax (CAD $),Total (CAD $),Total (USD $),Product URL
1,Flight Controller PCB (DigiKey),IC MCU 32BIT 512KB FLSH 48UFQFPN,STM32F411CEU6,1.0,12.85,12.85,1.67,14.52,10.55,
2,Flight Controller PCB (DigiKey),IMU ACCEL/GYRO I2C/SPI 14LGA,BMI270,1.0,6.71,6.71,0.87,7.58,5.51,
3,Flight Controller PCB (DigiKey),IC REG LINEAR 3.3V 300MA SOT23-5,AP2127K-3.3TRG1,1.0,0.38,0.38,0.05,0.43,0.31,
4,Flight Controller PCB (DigiKey),IC REG BUCK ADJ 3A SOT23,TPS54302DDCR,1.0,2.24,2.24,0.29,2.53,1.84,
5,Flight Controller PCB (DigiKey),CONN HEADER SMD R/A 8POS 1MM,SM08B-SRSS-TB,1.0,1.26,1.26,0.16,1.42,1.03,
6,Flight Controller PCB (DigiKey),DIODE SCHOTTKY 30V 1A SMA,B130L-13-F,1.0,0.92,0.92,0.12,1.04,0.76,
7,Flight Controller PCB (DigiKey),LED GREEN CLEAR CHIP SMD 0603,APT1608SGC,2.0,0.3,0.6,0.08,0.68,0.49,
8,Flight Controller PCB (DigiKey),CAP CER 0.1UF 16V X7R 0402,CL05B104KO5NNNC,50.0,0.017,0.85,0.11,0.96,0.7,
9,Flight Controller PCB (DigiKey),CAP CER 1UF 16V X5R 0402,CL05A105KO5NNNC,2.0,0.16,0.32,0.04,0.36,0.26,
10,Flight Controller PCB (DigiKey),CAP CER 2.2UF 10V X5R 0402,CL05A225KP5NNNC,1.0,0.22,0.22,0.03,0.25,0.18,
11,Flight Controller PCB (DigiKey),RES 1K OHM 1% 1/16W 0402,RC0402FR-071KL,10.0,0.033,0.33,0.04,0.37,0.27,
12,Flight Controller PCB (DigiKey),RES 5.1K OHM 1% 1/16W 0402,RC0402FR-075K1L,10.0,0.033,0.33,0.04,0.37,0.27,
13,Flight Controller PCB (DigiKey),RES 73.2K OHM 1% 1/16W 0402,RC0402FR-0773K2L,1.0,0.16,0.16,0.02,0.18,0.13,
14,Flight Controller PCB (DigiKey),CONN RCP USB2.0 TYP C 16P SMD RA,USB4105-GF-A,1.0,1.19,1.19,0.15,1.34,0.97,
15,Flight Controller PCB (DigiKey),CAP CER 4.7UF 16V X7R 0805,CL21B475KOFNNNE,2.0,0.4,0.8,0.1,0.9,0.65,
16,Flight Controller PCB (DigiKey),FIXED IND 10UH 1.25A 513 MOHM,74438335100,1.0,1.9,1.9,0.25,2.15,1.56,
17,Flight Controller PCB (DigiKey),CAP CER 10UF 25V X5R 1210,CL32A106KAULNNE,1.0,0.46,0.46,0.06,0.52,0.38,
18,Flight Controller PCB (DigiKey),CAP CER 22UF 6.3V X5R 0402,CL05A226MQ5QUNC,1.0,0.86,0.86,0.11,0.97,0.7,
19,Flight Controller PCB (DigiKey),CONN HEADER SMD R/A 6POS 1MM,SM06B-SHLS-TF,1.0,1.03,1.03,0.13,1.16,0.84,
20,Flight Controller PCB (DigiKey),CAP CER 22UF 25V X5R 0805,CC0805MKX5R8BB226,1.0,0.89,0.89,0.12,1.01,0.73,
21,Flight Controller PCB (DigiKey),CAP CER 10UF 10V X5R 0402,CC0402MRX5R6BB106,2.0,0.42,0.84,0.11,0.95,0.69,
22,Flight Controller PCB (DigiKey),CAP CER 4.7UF 10V X5R 0402,GRM155R61A475MEAAD,1.0,0.18,0.18,0.02,0.2,0.15,
23,Flight Controller PCB (DigiKey),RES 10K OHM 1% 1/16W 0402,RC0402FR-0710KL,10.0,0.033,0.33,0.04,0.37,0.27,
24,ESC / Drone Hardware,SpeedyBee BLS 35A Mini V2 20x20 4-in-1 ESC,BLS 35A Mini V2,1.0,44.49,44.49,5.78,50.27,36.51,
25,PCB Fabrication,JLCPCB Custom FC PCB Manufacturing,5-10 PCBs (4-Layer),1.0,25.0,25.0,3.25,28.25,20.52,
26,Rotor Village,FlyFishRC Flash 1404-4500KV Micro Motor,1404-4500KV,4.0,21.99,87.96,11.43,99.39,72.19,
27,Rotor Village,Gemfan Hurricane T3520-3 Tri-Blade Prop (2CW+2CCW),T3520-3,3.0,3.99,11.97,1.56,13.53,9.83,
28,Rotor Village,Tattu 850mAh 3S 95C 11.4V HV LiPo Battery Long Pack,850mAh 3S 95C HV,2.0,22.99,45.98,5.98,51.96,37.74,
29,Rotor Village,ToolkitRC M6DAC V2 AC/DC 6S Charger,M6DAC V2 AC/DC,1.0,143.99,143.99,18.72,162.71,118.18,
30,Shipping,DigiKey FedEx Shipping Fee,FedEx International Priority,1.0,15.0,15.0,1.95,16.95,12.31,
31,Shipping,Rotor Village Shipping Fee,Ground Shipping,1.0,33.0,33.0,4.29,37.29,27.09,
32,Video Transmitter (FPV),DJI O4 Air Unit Lite,DJI O4 Air Unit Lite,1.0,136.3,136.3,17.72,154.02,111.87,https://store.dji.com/ca/product/dji-o4-air-unit?vid=180771
,TOTAL,Grand Total,,,,579.34,75.29,654.63,475.49,
