Item,Category,Description,Part Number / Spec,Qty,Unit Price (CAD $),Subtotal (CAD $),13% Tax (CAD $),Total (CAD $),Total (USD $),Product URL
1,Flight Controller PCB (DigiKey),STM32F411 MCU,STM32F411CEU6,1,12.85,12.85,1.67,14.52,10.55,https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32F411CEU6/4935043
2,Flight Controller PCB (DigiKey),BMI270 6-Axis IMU,BMI270,1,6.71,6.71,0.87,7.58,5.51,https://www.digikey.ca/en/products/detail/bosch-sensortec/BMI270/13539829
3,Flight Controller PCB (DigiKey),AP2127K 3.3V LDO,AP2127K-3.3TRG1,1,0.38,0.38,0.05,0.43,0.31,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP2127K-3.3TRG1/4470764
4,Flight Controller PCB (DigiKey),TPS54302 Buck Regulator,TPS54302DDCR,1,2.24,2.24,0.29,2.53,1.84,https://www.digikey.ca/en/products/detail/texas-instruments/TPS54302DDCR/6005786
5,Flight Controller PCB (DigiKey),JST SH 8-Pin Header,SM08B-SRSS-TB,1,1.26,1.26,0.16,1.42,1.03,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/SM08B-SRSS-TB/926611
6,Flight Controller PCB (DigiKey),Schottky Diode 30V 1A,B130L-13-F,1,0.92,0.92,0.12,1.04,0.76,https://www.digikey.ca/en/products/detail/diodes-incorporated/B130L-13-F/815253
7,Flight Controller PCB (DigiKey),Green SMD LED 0603,APT1608SGC,2,0.3,0.6,0.08,0.68,0.49,https://www.digikey.ca/en/products/detail/kingbright/APT1608SGC/1922572
8,Flight Controller PCB (DigiKey),Capacitor 0.1uF 0402,CL05B104KO5NNNC,50,0.017,0.85,0.11,0.96,0.7,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886662
9,Flight Controller PCB (DigiKey),Capacitor 1uF 0402,CL05A105KO5NNNC,2,0.16,0.32,0.04,0.36,0.26,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A105KO5NNNC/3886728
10,Flight Controller PCB (DigiKey),Capacitor 2.2uF 0402,CL05A225KP5NNNC,1,0.22,0.22,0.03,0.25,0.18,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A225KP5NNNC/3887123
11,Flight Controller PCB (DigiKey),Resistor 1k Ohm 0402,RC0402FR-071KL,10,0.033,0.33,0.04,0.37,0.27,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-071KL/1005934
12,Flight Controller PCB (DigiKey),Resistor 5.1k Ohm 0402,RC0402FR-075K1L,10,0.033,0.33,0.04,0.37,0.27,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-075K1L/1005972
13,Flight Controller PCB (DigiKey),Resistor 73.2k Ohm 0402,RC0402FR-0773K2L,1,0.16,0.16,0.02,0.18,0.13,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-0773K2L/5016075
14,Flight Controller PCB (DigiKey),USB-C Receptacle 16P,USB4105-GF-A,1,1.19,1.19,0.15,1.34,0.97,https://www.digikey.ca/en/products/detail/gct/USB4105-GF-A/10448937
15,Flight Controller PCB (DigiKey),Capacitor 4.7uF 0805,CL21B475KOFNNNE,2,0.4,0.8,0.1,0.9,0.65,
16,Flight Controller PCB (DigiKey),Inductor 10uH 1.25A,74438335100,1,1.9,1.9,0.25,2.15,1.56,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/74438335100/5803975
17,Flight Controller PCB (DigiKey),Capacitor 10uF 1210,CL32A106KAULNNE,1,0.46,0.46,0.06,0.52,0.38,
18,Flight Controller PCB (DigiKey),Capacitor 22uF 0402,CL05A226MQ5QUNC,1,0.86,0.86,0.11,0.97,0.7,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A226MQ5QUNC/5961284
19,Flight Controller PCB (DigiKey),JST SH 6-Pin Header,SM06B-SHLS-TF,1,1.03,1.03,0.13,1.16,0.84,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/SM06B-SHLS-TF/3313628
20,Flight Controller PCB (DigiKey),Capacitor 22uF 0805,CC0805MKX5R8BB226,1,0.89,0.89,0.12,1.01,0.73,https://www.digikey.ca/en/products/detail/yageo/CC0805MKX5R8BB226/5034175
21,Flight Controller PCB (DigiKey),Capacitor 10uF 0402,CC0402MRX5R6BB106,2,0.42,0.84,0.11,0.95,0.69,https://www.digikey.ca/en/products/detail/yageo/CC0402MRX5R6BB106/11496660
22,Flight Controller PCB (DigiKey),Capacitor 4.7uF 0402,GRM155R61A475MEAAD,1,0.18,0.18,0.02,0.2,0.15,https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R61A475MEAAD/4905187
23,Flight Controller PCB (DigiKey),Resistor 10k Ohm 0402,RC0402FR-0710KL,10,0.033,0.33,0.04,0.37,0.27,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-0710KL/1005929
24,ESC / Drone Hardware,SpeedyBee BLS 35A Mini V2 20x20 4-in-1 ESC,BLS 35A Mini V2,1,44.49,44.49,5.78,50.27,36.51,https://www.speedybee.com/speedybee-f405-mini-bls-35a-20x20-stack/
25,PCB Fabrication,JLCPCB Custom FC PCB Manufacturing,5-10 PCBs (4-Layer),1,25.0,25.0,3.25,28.25,20.52,
26,Rotor Village,FlyFishRC Flash 1404-4500KV Micro Motor,1404-4500KV,4,21.99,87.96,11.43,99.39,72.19,https://rotorvillage.ca/flyfishrc-flash-1404-4500kv-micro-motor/
