Designator,Mid X,Mid Y,Rotation,Layer
C1,178.0,-80.65,0.0,top
C10,181.225,-91.575,270.0,top
C11,198.25,-85.9,0.0,bottom
C12,178.05,-85.175,180.0,top
C13,205.3,-96.4,270.0,bottom
C14,195.6,-85.275,270.0,bottom
C15,202.125,-84.375,180.0,bottom
C16,194.95,-88.425,270.0,top
C17,202.0,-96.425,270.0,bottom
C18,192.6,-90.65,180.0,bottom
C19,192.625,-89.125,180.0,bottom
C2,193.275,-81.275,180.0,top
C20,179.625,-77.775,270.0,top
C22,184.275,-91.625,270.0,top
C3,178.0,-83.675,0.0,top
C4,170.3,-87.125,90.0,top
C5,187.3,-91.65,90.0,top
C6,188.825,-91.625,270.0,top
C7,179.675,-74.25,90.0,top
C8,170.5,-92.95,270.0,top
C9,206.425,-77.825,270.0,top
D1,204.5,-76.925,90.0,top
D2,202.65,-91.275,180.0,bottom
IC1,172.55,-89.25,270.0,top
IC2,198.25,-88.3875,180.0,bottom
J1,206.305,-76.835,270.0,bottom
J19,184.725,-96.85,0.0,bottom
J2,186.925,-73.1,180.0,top
J3,208.35,-88.325,0.0,top
J4,208.4,-86.275,0.0,top
L1,203.55,-96.45,90.0,top
R1,200.025,-75.425,180.0,top
R10,201.85,-87.625,0.0,bottom
R11,201.85,-89.125,0.0,bottom
R12,200.0,-76.925,180.0,top
R13,200.025,-78.425,180.0,top
R2,200.025,-79.925,180.0,top
R3,181.2,-74.25,270.0,top
R4,182.75,-91.625,270.0,top
R5,178.05,-88.2,180.0,top
R6,185.8,-91.65,270.0,bottom
R7,178.05,-86.7,180.0,top
R8,178.0,-82.175,0.0,top
R9,195.65,-90.65,0.0,bottom
U1,198.5,-82.9625,0.0,bottom
U2,185.0,-83.975,90.0,top
